iter	Passed	Remaining
0	139	138983
1	139	69844
2	140	46761
3	141	35215
4	142	28282
5	142	23662
6	143	20359
7	144	17880
8	144	15953
9	145	14402
10	146	13130
11	146	12070
12	147	11167
13	147	10393
14	148	9722
15	148	9133
16	149	8616
17	149	8155
18	150	7746
19	150	7379
20	151	7046
21	151	6741
22	152	6463
23	152	6207
24	153	5972
25	153	5755
26	154	5553
27	154	5366
28	155	5192
29	155	5029
30	156	4877
31	156	4735
32	157	4601
33	157	4475
34	157	4355
35	158	4243
36	158	4137
37	159	4036
38	159	3940
39	160	3849
40	160	3763
41	161	3680
42	161	3602
43	162	3527
44	162	3455
45	163	3387
46	163	3322
47	164	3259
48	164	3199
49	165	3141
50	165	3086
51	166	3032
52	166	2981
53	167	2931
54	167	2883
55	168	2837
56	168	2792
57	169	2749
58	169	2707
59	170	2666
60	170	2627
61	171	2589
62	171	2553
63	172	2517
64	172	2483
65	173	2449
66	173	2417
67	174	2385
68	174	2355
69	175	2325
70	175	2296
71	175	2268
72	176	2240
73	176	2214
74	177	2189
75	177	2163
76	178	2139
77	178	2115
78	179	2091
79	179	2068
80	180	2047
81	180	2026
82	181	2002
83	181	1981
84	182	1961
85	182	1941
86	183	1922
87	183	1903
88	184	1884
89	184	1866
90	185	1849
91	185	1831
92	186	1814
93	186	1798
94	187	1781
95	187	1765
96	187	1750
97	188	1734
98	188	1719
99	189	1704
100	189	1690
101	190	1676
102	190	1662
103	191	1648
104	191	1635
105	192	1622
106	192	1609
107	193	1596
108	193	1584
109	194	1571
110	194	1560
111	195	1548
112	195	1537
113	196	1525
114	196	1514
115	197	1503
116	197	1491
117	198	1480
118	198	1470
119	199	1459
120	199	1449
121	199	1439
122	200	1429
123	200	1419
124	201	1409
125	201	1400
126	202	1390
127	202	1381
128	203	1372
129	203	1363
130	204	1354
131	204	1345
132	205	1337
133	205	1329
134	206	1321
135	206	1313
136	207	1305
137	207	1297
138	208	1289
139	208	1281
140	209	1273
141	209	1265
142	209	1258
143	210	1251
144	211	1244
145	211	1237
146	212	1230
147	212	1223
148	212	1216
149	213	1209
150	213	1202
151	214	1196
152	214	1189
153	215	1183
154	215	1176
155	216	1170
156	216	1164
157	217	1157
